Number;EffectiveEndDate;MainDisciplineLevel1;CallTitle;OutputDataSetId
169090;2020-03-31;Mathematics, Natural- and Engineering Sciences;Projektförderung 2016 April Abt. 2;E0E3F6BB-6702-4B46-B800-D600B8AE8076
169090;2020-03-31;Mathematics, Natural- and Engineering Sciences;Projektförderung 2016 April Abt. 2;EEBE4744-51EC-4841-89EB-9355C9F5E8B1
169090;2020-03-31;Mathematics, Natural- and Engineering Sciences;Projektförderung 2016 April Abt. 2;B5E1CBCA-23F1-4883-93B5-CD530FA4F87A
169090;2020-03-31;Mathematics, Natural- and Engineering Sciences;Projektförderung 2016 April Abt. 2;7546FEE6-208F-4BB2-A389-029CC0845430
169090;2020-03-31;Mathematics, Natural- and Engineering Sciences;Projektförderung 2016 April Abt. 2;6AC7027C-9D78-4250-A536-A4A24B4444B6
169090;2020-03-31;Mathematics, Natural- and Engineering Sciences;Projektförderung 2016 April Abt. 2;4CECD530-3C44-44E3-8357-DA777ED85C83
169090;2020-03-31;Mathematics, Natural- and Engineering Sciences;Projektförderung 2016 April Abt. 2;DBFB2299-3617-4769-8149-B51455976DD4
169090;2020-03-31;Mathematics, Natural- and Engineering Sciences;Projektförderung 2016 April Abt. 2;F9B5D838-A279-4469-B1C1-1B84E0A71BD6
169090;2020-03-31;Mathematics, Natural- and Engineering Sciences;Projektförderung 2016 April Abt. 2;6BD73896-82A1-4F88-A2E7-1D918BF20960
169090;2020-03-31;Mathematics, Natural- and Engineering Sciences;Projektförderung 2016 April Abt. 2;1AB65292-20CA-4ADC-9E9A-36C0DE7B0878
200018;2023-02-28;Humanities and Social Sciences;Early Postdoc.Mobility 2020 September;NA
159579;2018-09-30;Biology and Medicine;Projektförderung 2014;B2DDC436-B3A1-4B41-BA03-2188BC6AECB9
159579;2018-09-30;Biology and Medicine;Projektförderung 2014;6B6B8996-9DF8-479D-9B5B-2286516A01D9
159579;2018-09-30;Biology and Medicine;Projektförderung 2014;766BC3DB-9DEE-4C0E-80DC-3E933EB503C2
159579;2018-09-30;Biology and Medicine;Projektförderung 2014;D3BBF872-FC30-407F-A32E-50795DC208D8
159579;2018-09-30;Biology and Medicine;Projektförderung 2014;08D43E6E-9449-47E1-8D6E-582F89F6A726
159579;2018-09-30;Biology and Medicine;Projektförderung 2014;5623DADE-65CC-455D-8220-3348823C22EA
159579;2018-09-30;Biology and Medicine;Projektförderung 2014;0B480331-AC05-4209-9341-AF0314A151AD
159579;2018-09-30;Biology and Medicine;Projektförderung 2014;D6405918-AA4D-45BC-A208-A8BEDE1425F4
159579;2018-09-30;Biology and Medicine;Projektförderung 2014;00AD15B4-47B3-4AA5-815A-DBB2EB541188
159579;2018-09-30;Biology and Medicine;Projektförderung 2014;718A0947-CF78-4AF7-9290-43E34EDB6561
159579;2018-09-30;Biology and Medicine;Projektförderung 2014;A0A35BAF-67A1-4F99-BB2E-7A11A036D335
159579;2018-09-30;Biology and Medicine;Projektförderung 2014;37F37235-91A0-432B-8B3C-7A21C4BDA2E1
159579;2018-09-30;Biology and Medicine;Projektförderung 2014;45EB87D9-7D90-4731-AC1E-AD8E83E8DE0E
159579;2018-09-30;Biology and Medicine;Projektförderung 2014;66B1F05C-7D97-4109-8CE3-34441CCC0C68
159579;2018-09-30;Biology and Medicine;Projektförderung 2014;4ECE8F44-A8DA-418E-9FE7-C79E02F38C91
159579;2018-09-30;Biology and Medicine;Projektförderung 2014;346CF3FD-6CCE-44EB-97CD-CC5A67B0133F
